frontendQuestionId,title,titleSlug,difficulty,paidOnly,status,acRate,topicTags,hasSolution,hasVideoSolution
1,Two Sum,two-sum,Easy,False,,56.8324054575019,array;hash-table,True,True
2,Add Two Numbers,add-two-numbers,Medium,False,,47.64679848211581,linked-list;math;recursion,True,True
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,False,,38.206635506428846,hash-table;string;sliding-window,True,True
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,False,,45.57709562840996,array;binary-search;divide-and-conquer,True,True
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,False,,37.04626118978111,two-pointers;string;dynamic-programming,True,True
6,Zigzag Conversion,zigzag-conversion,Medium,False,,53.21482267392964,string,True,True
7,Reverse Integer,reverse-integer,Medium,False,,31.296053773714625,math,True,True
8,String to Integer (atoi),string-to-integer-atoi,Medium,False,,20.349582043510235,string,True,False
9,Palindrome Number,palindrome-number,Easy,False,,60.082713228436205,math,True,True
10,Regular Expression Matching,regular-expression-matching,Hard,False,,30.21460928952859,string;dynamic-programming;recursion,True,False
11,Container With Most Water,container-with-most-water,Medium,False,,59.25596987042597,array;two-pointers;greedy,True,True
12,Integer to Roman,integer-to-roman,Medium,False,,70.14443334141217,hash-table;math;string,True,True
13,Roman to Integer,roman-to-integer,Easy,False,,66.02160165569919,hash-table;math;string,True,True
14,Longest Common Prefix,longest-common-prefix,Easy,False,,46.81829602243853,array;string;trie,True,True
15,3Sum,3sum,Medium,False,,38.30873504077973,array;two-pointers;sorting,True,True
16,3Sum Closest,3sum-closest,Medium,False,,47.80615707115838,array;two-pointers;sorting,True,True
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,False,,65.21300514175128,hash-table;string;backtracking,True,False
18,4Sum,4sum,Medium,False,,39.665501939360695,array;two-pointers;sorting,True,False
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,False,,50.661581654685364,linked-list;two-pointers,True,True
20,Valid Parentheses,valid-parentheses,Easy,False,,43.45951394816356,string;stack,True,True
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,False,,67.7338372904872,linked-list;recursion,True,True
22,Generate Parentheses,generate-parentheses,Medium,False,,78.07988006812425,string;dynamic-programming;backtracking,True,True
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,False,,58.525343230126396,linked-list;divide-and-conquer;heap-priority-queue;merge-sort,True,True
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,False,,68.65077299660176,linked-list;recursion,True,False
